NO,sigungu,beonji,bonbeon,bubeon,dangi,class,area,cntr_ym,cntr_d,deposit,m_rent,floor,built_y,road_nm,cntr_prd,cntr_cls ,renew,pre_deposit,pre_m_rent
2425,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202307,7,70,000,0,13,2007,한강대로53길 16,202310~202510,신규,-,,
2426,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,113.31,202307,7,85,000,0,24,2007,한강대로53길 16,-,갱신,-,72,450,0
2427,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,124.2293,202307,7,105,000,150,16,2017,한강대로 69,202308~202508,신규,-,,
2428,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,28.22,202307,7,26,000,0,15,2004,한강대로43길 13,202307~202507,신규,-,,
2429,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202307,10,65,000,0,5,2005,한강대로43길 8,202309~202509,신규,-,,
2430,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202307,13,2,815,23,5,2021,백범로99길 40,-,-,-,,
2431,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,48.9018,202307,18,19,323,33,7,2021,백범로99길 40,-,-,-,,
2432,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202307,18,16,052,27,28,2021,백범로99길 40,-,-,-,,
2433,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,28.22,202307,18,1,000,79,11,2004,한강대로43길 13,202307~202407,신규,-,,
2434,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,월세,161.48,202307,19,0,1,200,26,2017,한강대로 95,202308~202607,신규,-,,
2435,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,116.28,202307,20,85,000,0,18,2005,한강대로43길 8,202307~202402,신규,-,,
2436,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,34.02,202307,22,27,000,0,11,2004,한강대로43길 13,202309~202509,신규,-,,
2437,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202307,22,57,700,0,14,2005,한강대로43길 8,202308~202508,신규,-,,
2438,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202307,25,2,198,9,23,2021,백범로99길 40,-,-,-,,
2439,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.74,202307,25,57,330,0,12,2005,한강대로43길 8,-,-,-,,
2440,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.74,202307,25,57,330,0,12,2005,한강대로43길 8,-,-,-,,
2441,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.74,202307,25,57,330,0,12,2005,한강대로43길 8,202308~202408,신규,-,,
2442,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,124.2293,202307,26,10,000,670,8,2017,한강대로 69,-,-,-,,
2443,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,124.2293,202307,26,10,000,670,8,2017,한강대로 69,202309~202509,신규,-,,
2444,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.74,202307,27,5,000,260,19,2005,한강대로43길 8,-,-,-,,
2445,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.74,202307,27,5,000,260,19,2005,한강대로43길 8,202308~202508,갱신,-,3,000,189
2446,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,월세,181.01,202307,28,0,1,350,37,2017,한강대로 95,202309~202509,신규,-,,
2447,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,125.68,202307,28,110,000,0,31,2005,한강대로43길 8,202310~202510,신규,-,,
2448,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,125.68,202307,28,110,000,0,31,2005,한강대로43길 8,202310~202510,신규,-,,
2449,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.87,202307,29,5,000,270,13,2005,한강대로43길 8,202308~202508,신규,-,,
2450,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.97,202307,30,68,000,0,25,2005,한강대로43길 8,202308~202508,신규,-,,
2451,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,전세,161.48,202307,31,200,000,0,35,2017,한강대로 95,202311~202511,신규,-,,
2452,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,전세,135.27,202308,4,180,000,0,29,2017,한강대로 95,202310~202510,갱신,-,147,000,0
2453,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.98,202308,8,59,500,0,17,2005,한강대로43길 8,202310~202510,신규,-,,
2454,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.87,202308,12,25,000,180,12,2005,한강대로43길 8,202310~202510,신규,-,,
2455,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.97,202308,14,67,500,0,24,2005,한강대로43길 8,202309~202509,신규,-,,
2456,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,29.53,202308,17,500,100,15,2004,한강대로43길 13,-,신규,-,,
2457,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.98,202308,23,5,000,280,25,2005,한강대로43길 8,202310~202509,신규,-,,
2458,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,116.28,202308,23,90,000,0,18,2005,한강대로43길 8,202311~202511,신규,-,,
2459,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202308,24,3,564,28,14,2021,백범로99길 40,-,-,-,,
2460,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,124.2293,202308,28,10,000,770,23,2017,한강대로 69,202309~202509,신규,-,,
2461,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,4,284,15,18,2021,백범로99길 40,-,-,-,,
2462,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,5,141,18,17,2021,백범로99길 40,-,-,-,,
2463,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,4,284,15,7,2021,백범로99길 40,-,-,-,,
2464,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,5,744,7,18,2021,백범로99길 40,-,-,-,,
2465,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,5,744,7,7,2021,백범로99길 40,-,-,-,,
2466,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,4,284,15,13,2021,백범로99길 40,-,-,-,,
2467,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,5,141,18,8,2021,백범로99길 40,-,-,-,,
2468,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,28,2,142,19,34,2021,백범로99길 40,-,-,-,,
2469,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.87,202308,28,3,000,220,15,2005,한강대로43길 8,202310~202509,신규,-,,
2470,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.87,202308,28,3,000,220,15,2005,한강대로43길 8,-,-,-,,
2471,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.87,202308,28,3,000,220,15,2005,한강대로43길 8,202310~202509,신규,-,,
2472,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,29,2,570,23,17,2021,백범로99길 40,-,-,-,,
2473,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202308,30,4,284,15,16,2021,백범로99길 40,-,-,-,,
2474,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.97,202308,30,62,000,0,5,2005,한강대로43길 8,-,-,-,,
2475,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,189.6783,202309,1,4,000,1,365,33,2017,한강대로 69,202309~202509,신규,-,,
2476,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,29.68,202309,6,22,000,0,15,2004,한강대로43길 13,202310~202510,신규,-,,
2477,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202309,8,8,316,14,21,2021,백범로99길 40,202310~202510,신규,-,,
2478,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202309,8,8,316,14,11,2021,백범로99길 40,-,-,-,,
2479,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,29.53,202309,8,500,100,15,2004,한강대로43길 13,202309~202312,신규,-,,
2480,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202309,13,6,569,11,5,2021,백범로99길 40,-,-,-,,
2481,서울특별시 용산구 한강로2가,419,419,0,아스테리움용산,월세,121.17,202309,14,0,775,24,2012,한강대로30길 25,202310~202510,신규,-,,
2482,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202309,14,16,052,27,26,2021,백범로99길 40,-,-,-,,
2483,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202309,14,16,052,27,26,2021,백범로99길 40,-,-,-,,
2484,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,112.1122,202309,15,130,000,0,8,2017,한강대로 69,202312~202512,신규,-,,
2485,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,112.1122,202309,15,130,000,0,8,2017,한강대로 69,-,-,-,,
2486,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202309,15,19,707,34,33,2021,백범로99길 40,-,-,-,,
2487,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202309,15,6,569,11,5,2021,백범로99길 40,-,-,-,,
2488,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,31.05,202309,16,23,100,0,12,2004,한강대로43길 13,202312~202512,갱신,사용,22,000,0
2489,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.97,202309,16,30,000,130,5,2005,한강대로43길 8,202312~202512,신규,-,,
2490,서울특별시 용산구 한강로2가,419,419,0,아스테리움용산,전세,130.09,202309,19,70,000,0,21,2012,한강대로30길 25,202309~202509,갱신,-,100,000,0
2491,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,48.9018,202309,20,19,323,33,9,2021,백범로99길 40,-,-,-,,
2492,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202309,21,8,316,14,23,2021,백범로99길 40,-,-,-,,
2493,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202309,21,3,178,4,21,2021,백범로99길 40,-,-,-,,
2494,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202309,22,16,052,27,22,2021,백범로99길 40,-,-,-,,
2495,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202309,22,16,052,27,25,2021,백범로99길 40,-,-,-,,
2496,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202309,22,16,052,27,25,2021,백범로99길 40,-,-,-,,
2497,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202309,25,62,700,0,8,2007,한강대로53길 16,202311~202511,갱신,사용,59,800,0
2498,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202309,25,19,707,34,30,2021,백범로99길 40,-,-,-,,
2499,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,전세,135.27,202309,26,168,000,0,39,2017,한강대로 95,202311~202511,갱신,사용,160,000,0
2500,서울특별시 용산구 한강로2가,419,419,0,아스테리움용산,전세,121.17,202310,4,145,000,0,17,2012,한강대로30길 25,202312~202512,신규,-,,
2501,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,34.02,202310,7,5,000,70,13,2004,한강대로43길 13,202311~202511,신규,-,,
2502,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,28.22,202310,7,24,000,0,15,2004,한강대로43길 13,202310~202510,신규,-,,
2503,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202310,10,19,707,34,35,2021,백범로99길 40,-,-,-,,
2504,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202310,11,8,446,69,5,2021,백범로99길 40,-,-,-,,
2505,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202310,11,2,448,8,9,2021,백범로99길 40,-,-,-,,
2506,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,32.39,202310,11,1,000,94,12,2004,한강대로43길 13,202311~202502,신규,-,,
2507,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202310,12,16,052,27,18,2021,백범로99길 40,-,-,-,,
2508,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202310,12,2,448,8,19,2021,백범로99길 40,-,-,-,,
2509,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202310,13,16,080,27,15,2021,백범로99길 40,-,-,-,,
2510,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,월세,84.67,202310,14,57,750,13,13,2007,한강대로53길 16,202310~202510,갱신,-,57,750,0
2511,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,116.28,202310,16,73,000,0,10,2005,한강대로43길 8,202311~202511,갱신,-,68,250,0
2512,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.98,202310,17,70,560,0,32,2005,한강대로43길 8,202311~202511,갱신,사용,67,200,0
2513,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202310,18,16,052,27,25,2021,백범로99길 40,-,-,-,,
2514,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202310,19,72,000,0,16,2005,한강대로43길 8,202311~202511,신규,-,,
2515,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,118.3669,202310,20,133,000,0,5,2017,한강대로 69,202311~202511,신규,-,,
2516,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,월세,84.87,202310,20,4,000,244,31,2005,한강대로43길 8,202311~202511,갱신,사용,4,000,231
2517,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,112.1122,202310,24,5,000,650,5,2017,한강대로 69,202311~202511,신규,-,,
2518,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,월세,113.31,202310,25,70,000,80,7,2007,한강대로53길 16,202312~202512,신규,-,,
2519,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,전세,135.27,202310,25,170,000,0,27,2017,한강대로 95,202312~202512,신규,-,,
2520,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202311,3,16,080,27,10,2021,백범로99길 40,-,-,-,,
2521,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,월세,84.67,202311,5,40,000,140,13,2007,한강대로53길 16,202312~202512,신규,-,,
2522,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202311,7,19,707,34,29,2021,백범로99길 40,-,-,-,,
2523,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,189.6783,202311,9,0,1,200,29,2017,한강대로 69,202402~202501,갱신,사용,0,1,200
2524,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202311,9,16,080,27,26,2021,백범로99길 40,-,-,-,,
2525,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.98,202311,9,59,500,0,17,2005,한강대로43길 8,202312~202512,신규,-,,
2526,서울특별시 용산구 한강로2가,419,419,0,아스테리움용산,월세,191.11,202311,10,0,1,600,30,2012,한강대로30길 25,202311~202708,신규,-,,
2527,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202311,10,8,316,14,6,2021,백범로99길 40,-,-,-,,
2528,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,29.68,202311,10,25,000,0,12,2004,한강대로43길 13,202312~202511,신규,-,,
2529,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,29.53,202311,11,1,000,84,11,2004,한강대로43길 13,202311~202411,신규,-,,
2530,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,169.055,202311,13,170,000,150,26,2017,한강대로 69,202402~202602,신규,-,,
2531,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202311,15,62,790,0,2,2007,한강대로53길 16,202312~202512,갱신,-,59,800,0
2532,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,273.973,202311,15,50,000,2,000,37,2017,한강대로 69,202402~202602,신규,-,,
2533,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,273.973,202311,15,50,000,2,200,37,2017,한강대로 69,202402~202602,신규,-,,
2534,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,273.973,202311,15,50,000,2,000,37,2017,한강대로 69,202402~202602,신규,-,,
2535,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,116.28,202311,16,100,000,0,8,2005,한강대로43길 8,202312~202512,신규,-,,
2536,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202311,18,75,000,0,22,2007,한강대로53길 16,-,-,-,,
2537,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202311,18,75,000,0,22,2007,한강대로53길 16,202402~202602,신규,-,,
2538,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,전세,135.27,202311,18,180,000,0,35,2017,한강대로 95,-,-,-,,
2539,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.97,202311,19,63,660,0,18,2005,한강대로43길 8,202311~202411,갱신,사용,60,630,0
2540,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202311,20,19,707,34,19,2021,백범로99길 40,-,-,-,,
2541,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202311,21,75,000,0,12,2005,한강대로43길 8,202402~202602,신규,-,,
2542,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,113.31,202311,22,97,000,0,13,2007,한강대로53길 16,202402~202602,신규,-,,
2543,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,148.8269,202311,27,80,000,420,30,2017,한강대로 69,202401~202601,갱신,-,50,000,321
2544,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,137.5778,202311,27,0,800,16,2017,한강대로 69,202401~202701,신규,-,,
2545,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,29.53,202311,28,1,000,90,14,2004,한강대로43길 13,202312~202412,신규,-,,
2546,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,152.4741,202311,30,100,000,300,11,2017,한강대로 69,202401~202601,신규,-,,
2547,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202311,30,8,316,14,10,2021,백범로99길 40,-,-,-,,
2548,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202312,2,73,000,0,17,2007,한강대로53길 16,202401~202601,신규,-,,
2549,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202312,2,73,000,0,17,2007,한강대로53길 16,202401~202601,신규,-,,
2550,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,148.8269,202312,2,170,000,0,28,2017,한강대로 69,202402~202602,신규,-,,
2551,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,118.3669,202312,2,135,000,0,13,2017,한강대로 69,202402~202602,신규,-,,
2552,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),월세,124.2293,202312,4,80,000,200,22,2017,한강대로 69,202402~202602,신규,-,,
2553,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202312,4,66,500,0,29,2005,한강대로43길 8,-,-,-,,
2554,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,48.9018,202312,6,19,323,33,9,2021,백범로99길 40,-,-,-,,
2555,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.74,202312,7,80,000,0,31,2005,한강대로43길 8,202312~202412,갱신,사용,85,000,0
2556,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,148.8269,202312,8,178,000,0,29,2017,한강대로 69,202402~202602,신규,-,,
2557,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202312,8,19,707,34,8,2021,백범로99길 40,-,-,-,,
2558,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202312,8,19,707,34,33,2021,백범로99길 40,-,-,-,,
2559,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,전세,31.05,202312,9,26,000,0,15,2004,한강대로43길 13,202401~202601,신규,-,,
2560,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,28.22,202312,9,7,000,70,12,2004,한강대로43길 13,202401~202601,신규,-,,
2561,서울특별시 용산구 한강로2가,02월 11일,2,11,한강로대우아이빌,월세,28.22,202312,9,7,000,70,12,2004,한강대로43길 13,-,-,-,,
2562,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202312,9,72,000,0,6,2005,한강대로43길 8,202403~202603,갱신,-,61,950,0
2563,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,44.9009,202312,11,17,729,31,16,2021,백범로99길 40,-,-,-,,
2564,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.74,202312,11,62,700,0,33,2005,한강대로43길 8,202402~202602,갱신,-,59,800,0
2565,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202312,13,6,020,23,33,2021,백범로99길 40,-,-,-,,
2566,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,13,3,452,4,34,2021,백범로99길 40,-,-,-,,
2567,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,13,3,452,4,34,2021,백범로99길 40,-,-,-,,
2568,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,14,3,452,4,19,2021,백범로99길 40,-,-,-,,
2569,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,14,16,080,27,20,2021,백범로99길 40,-,-,-,,
2570,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,14,3,452,4,24,2021,백범로99길 40,-,-,-,,
2571,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.97,202312,14,63,000,0,9,2005,한강대로43길 8,202401~202601,신규,-,,
2572,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,15,3,410,5,9,2021,백범로99길 40,-,-,-,,
2573,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,15,3,452,4,15,2021,백범로99길 40,-,-,-,,
2574,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,112.1122,202312,16,135,000,0,7,2017,한강대로 69,202402~202602,신규,-,,
2575,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.87,202312,16,60,637,0,10,2005,한강대로43길 8,202402~202602,갱신,사용,57,750,0
2576,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202312,19,2,540,9,35,2021,백범로99길 40,-,-,-,,
2577,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,월세,84.67,202312,24,50,000,24,8,2007,한강대로53길 16,202402~202604,갱신,-,40,000,58
2578,서울특별시 용산구 한강로2가,422,422,0,래미안용산더센트럴,전세,135.27,202312,25,170,000,0,36,2017,한강대로 95,-,-,-,,
2579,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202312,27,3,410,4,6,2021,백범로99길 40,-,-,-,,
2580,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202312,27,8,316,14,6,2021,백범로99길 40,-,-,-,,
2581,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202312,27,6,569,11,5,2021,백범로99길 40,-,-,-,,
2582,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202312,29,6,569,11,5,2021,백범로99길 40,-,-,-,,
2583,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202401,2,3,410,5,27,2021,백범로99길 40,-,-,-,,
2584,서울특별시 용산구 한강로2가,02월 08일,2,8,벽산메가트리움,전세,84.98,202401,2,70,000,0,5,2005,한강대로43길 8,202402~202602,신규,-,,
2585,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202401,4,6,569,11,5,2021,백범로99길 40,-,-,-,,
2586,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202401,5,6,020,22,24,2021,백범로99길 40,-,-,-,,
2587,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,48.9018,202401,5,6,441,10,4,2021,백범로99길 40,-,-,-,,
2588,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,113.31,202401,6,73,868,0,19,2007,한강대로53길 16,-,-,-,,
2589,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202401,6,80,000,0,17,2007,한강대로53길 16,-,-,-,,
2590,서울특별시 용산구 한강로2가,417,417,0,용산파크e-편한세상,전세,84.67,202401,6,80,000,0,17,2007,한강대로53길 16,202404~202604,신규,-,,
2591,서울특별시 용산구 한강로2가,420,420,0,용산푸르지오써밋(420),전세,148.8269,202401,8,175,000,0,31,2017,한강대로 69,202401~202602,갱신,-,230,000,0
2592,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,19.6951,202401,10,8,316,14,22,2021,백범로99길 40,-,-,-,,
2593,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202401,15,5,744,7,33,2021,백범로99길 40,202401~202602,신규,-,,
2594,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,49.9933,202401,15,19,707,34,10,2021,백범로99길 40,-,-,-,,
2595,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202401,16,4,284,15,5,2021,백범로99길 40,-,-,-,,
2596,서울특별시 용산구 한강로2가,426,426,0,용산베르디움프렌즈,월세,39.8036,202401,23,16,080,27,23,2021,백범로99길 40,-,-,-,,
